JSE_STOCK,TARGET_STOCK,TARGET_MARKET,PERCENT_CHANGE_CORR,DAILY_SIMILARITY_10
BVT.JO_2021-09-15_2023-09-15,9101.T_2021-09-15_2023-09-15,jpx,0.14871688760570792,0.527542372881356
BVT.JO_2021-09-15_2023-09-15,BSL.AX_2021-09-15_2023-09-15,asx,0.1483709821491001,0.5417515274949084
BVT.JO_2021-09-15_2023-09-15,LNW.AX_2021-09-15_2023-09-15,asx,0.1470667736117224,0.5064935064935064
BVT.JO_2021-09-15_2023-09-15,6594.T_2021-09-15_2023-09-15,jpx,0.14148529545655864,0.5402542372881356
BVT.JO_2021-09-15_2023-09-15,LTR.AX_2021-09-15_2023-09-15,asx,0.14109326786722742,0.5010183299389002
CFR.JO_2021-09-15_2023-09-15,4661.T_2021-09-15_2023-09-15,jpx,0.30829249999587044,0.5416666666666666
CFR.JO_2021-09-15_2023-09-15,EDV.AX_2021-09-15_2023-09-15,asx,0.30469570240624944,0.46464646464646464
CFR.JO_2021-09-15_2023-09-15,FPH.AX_2021-09-15_2023-09-15,asx,0.27647689151961313,0.6161616161616161
CFR.JO_2021-09-15_2023-09-15,7741.T_2021-09-15_2023-09-15,jpx,0.27482358791237993,0.6041666666666666
CFR.JO_2021-09-15_2023-09-15,7974.T_2021-09-15_2023-09-15,jpx,0.2723118053432387,0.59375
CFR.JO_2021-09-15_2023-09-15,600188.SS_2021-09-15_2023-09-15,ssx,0.26102717549337234,0.4639175257731959
CFR.JO_2021-09-15_2023-09-15,NXT.AX_2021-09-15_2023-09-15,asx,0.253115041857002,0.5757575757575758
CFR.JO_2021-09-15_2023-09-15,601985.SS_2021-09-15_2023-09-15,ssx,0.24284177483803035,0.5670103092783505
CFR.JO_2021-09-15_2023-09-15,8830.T_2021-09-15_2023-09-15,jpx,0.24280888430311304,0.5416666666666666
CFR.JO_2021-09-15_2023-09-15,8309.T_2021-09-15_2023-09-15,jpx,-0.2294207799899192,0.40625
