Date,Open,High,Low,Close,Adj Close,Volume
2022-06-13,16000.0,16051.0,15531.0,16006.0,14329.4951171875,4038156
2022-06-14,16459.0,16479.0,16029.0,16243.0,14541.6708984375,3598868
2022-06-15,16240.0,16597.0,15929.0,16543.0,14810.2490234375,7047949
2022-06-17,16016.0,16365.0,15885.0,15900.0,14234.59765625,6021781
2022-06-20,15930.0,16562.0,15850.0,16500.0,14771.7529296875,1270915
2022-06-21,16805.0,17060.0,16707.0,16777.0,15019.7392578125,5207693
2022-06-22,16632.0,16722.0,16285.0,16612.0,14872.021484375,4307820
2022-06-23,16340.0,16598.0,16232.0,16312.0,14603.4443359375,2594489
2022-06-24,16210.0,16670.0,16257.0,16459.0,14735.046875,4930908
2022-06-27,16465.0,16852.0,15799.0,15799.0,14144.1767578125,4288629
2022-06-28,15905.0,16173.0,15745.0,16000.0,14324.123046875,3534775
2022-06-29,15950.0,15977.0,15616.0,15759.0,14108.3671875,2025258
2022-06-30,15650.0,15736.0,15302.0,15460.0,13840.6845703125,3660307
2022-07-01,15253.0,15917.0,15217.0,15470.0,13849.63671875,2938711
2022-07-04,15515.0,15930.0,15445.0,15785.0,14131.6435546875,2358986
2022-07-05,15990.0,15989.0,15253.0,15316.0,13711.767578125,2982817
2022-07-06,15316.0,15593.0,15182.0,15321.0,13716.244140625,2838097
2022-07-07,15425.0,15854.0,15404.0,15610.0,13974.9736328125,3214216
2022-07-08,15800.0,15900.0,15435.0,15723.0,14076.13671875,3042884
2022-07-11,15416.0,15744.0,15357.0,15510.0,13885.447265625,1098993
2022-07-12,15411.0,15960.0,15513.0,15900.0,14234.59765625,1871253
2022-07-13,15799.0,15980.0,15414.0,15550.0,13921.2578125,1887598
2022-07-14,15799.0,15674.0,15002.0,15205.0,13612.3935546875,2359425
2022-07-15,15033.0,15695.0,15114.0,15561.0,13931.10546875,2183064
2022-07-18,15500.0,16107.0,15737.0,16022.0,14343.8193359375,2528770
2022-07-19,16075.0,16320.0,15800.0,16290.0,14583.748046875,2307832
2022-07-20,16290.0,16624.0,16284.0,16420.0,14700.1328125,3027101
2022-07-21,16485.0,17108.0,16323.0,16910.0,15138.80859375,2947430
2022-07-22,17025.0,17167.0,16750.0,16750.0,14995.5673828125,1818280
2022-07-25,16601.0,16926.0,16552.0,16750.0,14995.5673828125,1375496
2022-07-26,16655.0,17083.0,16747.0,16888.0,15119.1123046875,1640981
2022-07-27,16553.0,16998.0,16700.0,16890.0,15120.9033203125,904585
2022-07-28,16999.0,17217.0,16646.0,16934.0,15160.2939453125,3920589
2022-07-29,16947.0,17241.0,16906.0,17002.0,15221.1708984375,2397593
2022-08-01,16900.0,17232.0,16750.0,16976.0,15197.8955078125,1783008
2022-08-02,16801.0,17196.0,16642.0,16790.0,15031.376953125,2676950
2022-08-03,17100.0,17300.0,16744.0,17268.0,15459.310546875,4577346
2022-08-04,17015.0,17678.0,17050.0,17504.0,15670.5908203125,4835835
2022-08-05,17569.0,17899.0,17552.0,17803.0,15938.2744140625,2011532
2022-08-08,17820.0,18000.0,17781.0,17924.0,16046.5986328125,1985600
2022-08-10,17800.0,18313.0,17917.0,18100.0,16204.1650390625,4679895
2022-08-11,18105.0,18473.0,18120.0,18297.0,16380.5302734375,2264764
2022-08-12,18350.0,18675.0,18128.0,18611.0,16661.640625,2306985
2022-08-15,18850.0,18904.0,18654.0,18825.0,16853.2265625,4914061
2022-08-16,18888.0,19157.0,18655.0,18672.0,16716.251953125,4287884
2022-08-17,18611.0,18916.0,18466.0,18736.0,16773.548828125,3696059
2022-08-18,18822.0,19050.0,18700.0,19000.0,17009.896484375,3928177
2022-08-19,19049.0,19048.0,18300.0,18482.0,16546.15234375,8130032
2022-08-22,18480.0,18500.0,17894.0,18447.0,16514.818359375,4286271
2022-08-23,18399.0,18665.0,18246.0,18601.0,16652.689453125,4044266
2022-08-24,18490.0,18624.0,18200.0,18399.0,16471.845703125,2430897
2022-08-25,18449.0,18700.0,18382.0,18601.0,16652.689453125,3189982
2022-08-26,18450.0,19120.0,18450.0,18899.0,16919.4765625,2556992
2022-08-29,18500.0,18720.0,18300.0,18535.0,16593.6015625,4001953
2022-08-30,18501.0,18720.0,18095.0,18181.0,16276.6806640625,3340654
2022-08-31,18100.0,18406.0,17710.0,17802.0,15937.3779296875,3158051
2022-09-01,17250.0,17870.0,16900.0,17810.0,15944.5400390625,110581927
2022-09-02,17870.0,18384.0,17850.0,18043.0,16153.1337890625,8660552
2022-09-05,17980.0,18513.0,17650.0,18429.0,16498.705078125,11347247
2022-09-06,18531.0,18611.0,18253.0,18297.0,16380.5302734375,3518592
2022-09-07,18550.0,18354.0,17808.0,17980.0,16096.7333984375,3305243
2022-09-08,17850.0,18367.0,17884.0,18258.0,16345.6162109375,5169013
2022-09-09,18310.0,18880.0,18269.0,18751.0,16786.978515625,3945295
2022-09-12,18775.0,19050.0,18750.0,18823.0,16851.435546875,3735807
2022-09-13,18790.0,18866.0,18463.0,18569.0,16624.041015625,2956687
2022-09-14,17970.0,18144.0,17800.0,17838.0,16548.892578125,2329355
2022-09-15,18109.0,18282.0,17925.0,18230.0,16912.56640625,7759789
2022-09-16,18011.0,18276.0,18027.0,18109.0,16800.30859375,6684049
2022-09-19,17901.0,18065.0,17607.0,17984.0,16684.341796875,3505377
2022-09-20,18030.0,18518.0,18002.0,18343.0,17017.3984375,5940991
2022-09-21,18201.0,18361.0,18107.0,18300.0,16977.5078125,2959736
2022-09-22,17955.0,18364.0,17922.0,18203.0,16887.515625,3587578
2022-09-23,18002.0,18280.0,17777.0,17947.0,16650.015625,3802405
2022-09-26,17652.0,17990.0,17648.0,17885.0,16592.49609375,3496056
2022-09-27,18250.0,18218.0,17749.0,18088.0,16780.826171875,3948018
2022-09-28,17992.0,17988.0,17486.0,17915.0,16620.330078125,3623382
2022-09-29,17998.0,17976.0,17425.0,17517.0,16251.0927734375,2527207
2022-09-30,17561.0,17842.0,17467.0,17663.0,16386.541015625,3466719
2022-10-03,17663.0,17727.0,17494.0,17627.0,16353.1416015625,1480384
2022-10-04,17628.0,18063.0,17588.0,17625.0,16351.287109375,3779193
2022-10-05,17550.0,17838.0,17333.0,17466.0,16203.77734375,3244769
2022-10-06,17500.0,17684.0,17362.0,17364.0,16109.1484375,2500004
2022-10-07,17390.0,17497.0,17256.0,17497.0,16232.5361328125,1299986
2022-10-10,17655.0,17690.0,17290.0,17606.0,16333.6591796875,1622099
2022-10-11,17606.0,17861.0,17476.0,17847.0,16557.244140625,3835952
