"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2022","58,385.40","59,279.98","59,279.98","58,140.00","78.69M","-1.51%"
"10/07/2022","59,279.98","59,416.01","59,520.44","58,802.87","89.91M","-0.23%"
"10/06/2022","59,416.01","59,202.29","60,108.41","59,202.29","147.46M","0.36%"
"10/05/2022","59,202.29","59,839.46","60,027.55","58,966.99","95.77M","-1.06%"
"10/04/2022","59,839.46","57,849.66","59,839.46","57,849.66","164.86M","3.44%"
"10/03/2022","57,849.66","57,389.70","57,948.19","56,911.49","87.05M","0.80%"
"09/30/2022","57,389.70","56,920.94","57,632.96","56,899.69","142.06M","0.82%"
"09/29/2022","56,920.94","57,413.11","57,561.08","56,199.61","149.32M","-0.86%"
"09/28/2022","57,413.11","57,621.38","57,623.10","55,851.00","157.22M","-0.36%"
"09/27/2022","57,621.38","57,289.97","57,825.65","57,037.40","151.68M","0.58%"
"09/26/2022","57,289.97","57,109.52","57,473.09","56,375.98","130.81M","0.32%"
"09/23/2022","57,109.52","58,852.41","58,898.86","56,959.51","125.82M","-2.96%"
"09/22/2022","58,852.41","59,817.68","59,819.43","58,741.09","122.10M","-1.61%"
"09/21/2022","59,817.68","60,119.49","60,149.71","59,481.58","98.69M","-0.50%"
"09/20/2022","60,119.49","59,967.30","60,918.78","59,944.83","104.88M","0.25%"
"09/19/2022","59,967.30","60,013.72","60,029.50","59,018.45","88.65M","-0.08%"
"09/16/2022","60,013.72","60,991.46","60,991.46","59,761.68","265.93M","-1.60%"
"09/15/2022","60,991.46","61,385.53","61,911.27","60,955.42","288.52M","-0.64%"
"09/14/2022","61,385.53","61,706.56","61,734.54","60,850.25","90.18M","-0.52%"
"09/13/2022","61,706.56","63,111.95","63,230.51","61,521.35","113.42M","-2.23%"
"09/12/2022","63,111.95","62,126.76","63,426.78","62,126.76","115.71M","1.59%"
"09/09/2022","62,126.76","60,637.95","62,621.15","60,632.01","142.77M","2.46%"
"09/08/2022","60,637.95","60,174.38","60,933.03","59,998.04","136.44M","0.77%"
"09/07/2022","60,174.38","60,943.44","60,943.44","59,825.78","131.29M","-1.26%"
"09/06/2022","60,943.44","60,843.90","61,348.02","60,552.63","118.71M","0.16%"
"09/05/2022","60,843.90","60,854.02","61,146.18","60,285.40","104.85M","-0.02%"
